Camp	PathName	X	Y
camp1	1	1595	3213
camp1	1	1582	3227
camp1	1	1596	3238
camp1	1	1606	3248
camp1	1	1618	3261
camp1	1	1629	3271
camp1	1	1645	3290
camp1	1	1652	3276
camp1	1	1663	3266
camp1	1	1671	3259
camp1	1	1683	3247
camp1	1	1694	3236
camp1	1	1703	3226
camp1	1	1716	3215
camp1	1	1727	3204
camp1	1	1732	3196
camp1	1	1737	3187
camp1	1	1742	3182
camp1	1	1746	3167
camp1	1	1754	3143
camp1	2	1582	3222
camp1	2	1601	3244
camp1	2	1614	3257
camp1	2	1626	3267
camp1	2	1638	3277
camp1	2	1653	3275
camp1	2	1663	3265
camp1	2	1674	3254
camp1	2	1685	3245
camp1	2	1696	3235
camp1	2	1707	3224
camp1	2	1728	3198
camp1	2	1738	3188
camp1	2	1739	3182
camp1	2	1739	3182
camp1	2	1744	3167
camp1	2	1752	3150
camp1	2	1758	3130
camp1	2	1754	3118
camp1	2	1743	3114
camp1	2	1730	3111
camp1	2	1715	3112
camp1	2	1702	3106
camp1	2	1690	3107
camp1	2	1672	3105
camp1	2	1664	3103
camp1	2	1655	3096
camp1	2	1651	3080
camp1	2	1650	3063
camp1	2	1649	3049
camp1	2	1646	3036
camp1	2	1645	3021
camp1	2	1649	3008
camp1	2	1655	2991
camp2	1	1770	3089
camp2	1	1764	3101
camp2	1	1758	3111
camp2	1	1752	3125
camp2	1	1755	3141
camp2	1	1750	3159
camp2	1	1744	3176
camp2	1	1742	3183
camp2	1	1732	3200
camp2	1	1718	3212
camp2	1	1704	3227
camp2	1	1692	3238
camp2	1	1678	3250
camp2	1	1663	3264
camp2	1	1650	3277
camp2	1	1635	3277
camp2	1	1624	3264
camp2	1	1614	3253
camp2	1	1601	3239
camp2	1	1590	3228
camp2	2	1655	2991
camp2	2	1649	3008
camp2	2	1645	3021
camp2	2	1646	3036
camp2	2	1649	3049
camp2	2	1650	3063
camp2	2	1651	3080
camp2	2	1655	3096
camp2	2	1664	3103
camp2	2	1672	3105
camp2	2	1690	3107
camp2	2	1702	3106
camp2	2	1715	3112
camp2	2	1730	3111
camp2	2	1743	3114
camp2	2	1754	3118
camp2	2	1758	3130
camp2	2	1752	3150
camp2	2	1744	3167
camp2	2	1739	3182
camp2	2	1739	3182
camp2	2	1738	3188
camp2	2	1728	3198
camp2	2	1707	3224
camp2	2	1696	3235
camp2	2	1685	3245
camp2	2	1674	3254
camp2	2	1663	3265
camp2	2	1653	3275
camp2	2	1638	3277
camp2	2	1626	3267
camp2	2	1614	3257
camp2	2	1601	3244
camp2	2	1582	3222
